433096 Sector 2  26635.8 6.75746 0.642435
433096 Sector 3  20202.4 6.75109 0.786686
433096 Sector 4  23411.3 1.48947 0.776878
433096 Sector 5  29464.5 2.2551 0.579156
433096 Sector 6  49663.4 1.44468 2.02586
433096 Sector 7  76451 0.556646 1.44579
433097 Sector 0  20102.6 6.82705 0.570544
433097 Sector 1  18958.9 6.74359 0.597869
433097 Sector 2  18025.8 6.98465 0.638376
433097 Sector 3  14093.1 6.9956 0.767834
433097 Sector 4  16365.6 1.71673 0.713436
433097 Sector 5  19704.9 2.4697 0.59067
433097 Sector 6  32862.3 1.86938 1.64119
433097 Sector 7  56812.3 1.06994 1.39415
433100 Sector 0  20365.8 6.81617 0.583056
433100 Sector 1  19274.8 6.74781 0.61173
433100 Sector 2  18438.4 6.98132 0.650351
433100 Sector 3  13968.6 6.99104 0.792991
433100 Sector 4  16324.6 1.62885 0.766266
433100 Sector 5  20260.6 2.45785 0.596322
433100 Sector 6  21475.4 1.77413 1.90741
433100 Sector 7  47818.9 0.863692 1.45543
433101 Sector 0  23207.2 6.97851 0.593719
433101 Sector 1  22230.8 6.90827 0.614151
433101 Sector 2  21010.9 7.13524 0.670597
433101 Sector 3  16926.3 7.12896 0.841526
433101 Sector 4  18828.8 1.79277 0.766116
433101 Sector 5  23085.1 2.63042 0.610892
433101 Sector 6  23610.3 1.73132 2.2037
433101 Sector 7  42356.2 1.06009 1.63163
433102 Sector 0  113275 6.93108 0.584386
433102 Sector 1  107389 6.8687 0.615507
433102 Sector 2  102289 7.11553 0.670371
433102 Sector 3  81136.5 7.13105 0.822486
433102 Sector 4  93254 1.79017 0.742159
433102 Sector 5  114806 2.56582 0.587575
433102 Sector 6  108386 1.70086 1.83425
433102 Sector 7  239797 1.11766 1.46822
433103 Sector 0  150056 7.0894 0.601127
433103 Sector 1  143963 7.00485 0.606931
433103 Sector 2  137020 7.24919 0.662442
433103 Sector 3  106371 7.25202 0.813163
433103 Sector 4  123763 1.96469 0.758217
433103 Sector 5  152051 2.71569 0.592224
433103 Sector 6  135790 1.79618 1.6966
433103 Sector 7  385934 1.31578 1.3458
433104 Sector 0  34593 7.06253 0.622373
433104 Sector 1  33357.5 6.95502 0.627115
433104 Sector 2  31798.6 7.20324 0.687294
433104 Sector 3  26192.2 7.20343 0.870568
433104 Sector 4  28203.9 1.88446 0.793586
433104 Sector 5  35705.4 2.64358 0.605779
433104 Sector 6  34571.7 1.60326 1.56645
433104 Sector 7  74653 1.24819 1.43827
433105 Sector 0  85203.7 7.15388 0.619511
433105 Sector 1  81432.9 7.08102 0.637058
433105 Sector 2  78519 7.30644 0.668658
433105 Sector 3  63818.6 7.29399 0.862294
433105 Sector 4  70020.8 2.00102 0.782541
433105 Sector 5  88364.6 2.76289 0.595251
433105 Sector 6  80808 1.72783 1.58515
433105 Sector 7  175942 1.42449 1.40535
433106 Sector 0  47981.2 7.01487 0.585537
433106 Sector 1  45215.1 6.95272 0.622495
433106 Sector 2  43239.5 7.20539 0.67846
433106 Sector 3  36924.3 7.20577 0.889103
433106 Sector 4  38941 1.90263 0.764796
433106 Sector 5  48317 2.64024 0.603488
433106 Sector 6  43694.3 1.61259 1.53242
